sgRNA_ID,Target_Gene,Base_Mean_Counts,LFC_Treatment_vs_Control,p_value,FDR,Pathway_Annotation
ADAM180_sg3,ADAM180,123,3.0181,5.304955548722676e-53,1.0767839408774039e-51,Unassigned
ADAM180_sg4,ADAM180,1191,2.226,1.169210070122066e-65,3.087702649970245e-64,Unassigned
OLFM612_sg1,OLFM612,1318,-2.6924,1.53823675874631e-96,6.687985907592651e-95,MAPK signaling pathway
OLFM612_sg2,OLFM612,849,-3.3116,5.2702600583559575e-135,4.650229463255257e-133,Unassigned
OLFM612_sg3,OLFM612,180,-2.928,5.6762769822616875e-62,1.373292818289118e-60,Unassigned
OLFM612_sg4,OLFM612,504,-2.6723,2.7292936837432127e-78,8.977939749155305e-77,Spliceosome
OLFM612_sg5,OLFM612,2670,-2.8655,4.809232316962461e-117,2.897127901784615e-115,Unassigned
ABCC164_sg1,ABCC164,676,0.3666,0.007561956559047219,0.020828011088084516,Unassigned
ABCC164_sg2,ABCC164,36,0.2116,0.4984465419734947,0.627977333243946,Unassigned
ABCC164_sg3,ABCC164,129,-0.1429,0.461551686363632,0.5947831009840618,Unassigned
ABCC164_sg4,ABCC164,120,0.4241,0.03263628818729458,0.07272533068749192,Unassigned
COL607_sg1,COL607,107,0.2176,0.29093055748267593,0.4210689272713372,Unassigned
COL607_sg2,COL607,14,0.2057,0.6670703307544794,0.7679244022499764,Unassigned
COL607_sg3,COL607,5630,0.3961,0.0011903593044030592,0.004009743895361753,Unassigned
COL607_sg4,COL607,89,0.2493,0.2557489614866014,0.38156300201899956,Unassigned
COL607_sg5,COL607,99,-0.0612,0.7723096488900133,0.8477603171130772,Unassigned
ABCA237_sg1,ABCA237,18,-0.5282,0.21448828392809172,0.33360890283299205,Unassigned
ABCA237_sg2,ABCA237,1212,0.0047,0.9711871120538164,0.9826513781320233,Unassigned
ABCA237_sg3,ABCA237,288,-0.2413,0.12560510651444243,0.2189513768409804,Unassigned
ABCA237_sg4,ABCA237,195,-0.1072,0.5344017566590946,0.658887584241856,Unassigned
ABCA237_sg5,ABCA237,211,-0.2044,0.2269277425450752,0.34840492714187593,Unassigned
ABCA237_sg6,ABCA237,798,-0.0261,0.8466611770680313,0.8995243414895684,Unassigned
COL320_sg1,COL320,161,0.2321,0.20153336258276477,0.31766472005810104,Unassigned
COL320_sg2,COL320,17,0.3443,0.43063390829993864,0.5656807622820808,Unassigned
COL320_sg3,COL320,48,-0.1135,0.6823079762720082,0.7801734053877128,Unassigned
COL320_sg4,COL320,44,0.1976,0.4916894705163284,0.6216572874026405,Unassigned
COL320_sg5,COL320,499,-0.0642,0.6530487892912665,0.7567506911550561,Unassigned
COL320_sg6,COL320,1333,-0.2642,0.04062290757400707,0.0870864104059034,Unassigned
ABCB314_sg1,ABCB314,2977,-0.3299,0.007864267137677666,0.021538069575527657,Unassigned
ABCB314_sg2,ABCB314,28,-0.3077,0.37749216782805806,0.512757630844958,Unassigned
ABCB314_sg3,ABCB314,837,0.1189,0.37517583048785375,0.5103044484328805,Unassigned
ABCB314_sg4,ABCB314,131,0.5675,0.0033015195149553524,0.010018454585745698,Unassigned
ABCB314_sg5,ABCB314,26508,0.4498,0.00018884510150986663,0.0007606542756842103,Unassigned
KRT645_sg1,KRT645,2632,-0.498,6.466785028434368e-05,0.0002840461945139546,Unassigned
KRT645_sg2,KRT645,4242,0.1443,0.2404600380442482,0.364149477098811,Unassigned
KRT645_sg3,KRT645,1101,-0.9637,1.7836722676462504e-13,1.5262455228005564e-12,Unassigned
ABCC420_sg1,ABCC420,586,-0.5201,0.0001972548046813264,0.0007921879706077366,Unassigned
ABCC420_sg2,ABCC420,181,-0.2465,0.16140223586805724,0.26799131481302396,Unassigned
ABCC420_sg3,ABCC420,134,0.4206,0.02830754264541244,0.06444272874202256,Unassigned
ABCC420_sg4,ABCC420,99,0.4125,0.05104853952025757,0.10529814257478871,Unassigned
ABCC420_sg5,ABCC420,834,0.281,0.03622243414790685,0.07929173821979665,Unassigned
ABCC420_sg6,ABCC420,3431,-0.242,0.050206975944216865,0.10376200594698994,Unassigned
KDM325_sg1,KDM325,193,-0.4547,0.008591431948866335,0.023363212333755445,Unassigned
KDM325_sg2,KDM325,112,-0.6914,0.0006572540511573503,0.0023596962104739717,Unassigned
KDM325_sg3,KDM325,36,0.369,0.2379278476667167,0.3613498728677294,Unassigned
KDM325_sg4,KDM325,477,-0.3301,0.02172818288711655,0.051677498991681885,Unassigned
KDM325_sg5,KDM325,2088,-0.2532,0.04423261509127297,0.09338342383801472,Unassigned
TMEM767_sg1,TMEM767,2251,-0.5181,3.6150497684991036e-05,0.00016582797103206897,Unassigned
TMEM767_sg2,TMEM767,2611,-0.4774,0.00012903617570644735,0.0005364586018837889,Unassigned
TMEM767_sg3,TMEM767,616,-0.1446,0.2974141007959199,0.4284271114893689,Unassigned
TMEM767_sg4,TMEM767,378,-0.1801,0.2282900149991819,0.35013805981469615,Unassigned
TMEM767_sg5,TMEM767,2261,-0.8288,3.864192123709998e-11,3.006373540230808e-10,Unassigned
TMEM767_sg6,TMEM767,62,-0.7549,0.002591048715201553,0.008053404626610711,Unassigned
SLC515_sg1,SLC515,170,-0.0098,0.9562122140884374,0.9748465295723263,Unassigned
SLC515_sg2,SLC515,4300,-0.0594,0.6290626762873767,0.7393199204192314,Unassigned
SLC515_sg3,SLC515,66,-0.1866,0.4455972520651291,0.5804062852532943,Unassigned
SLC515_sg4,SLC515,314,0.0262,0.8656476083979314,0.913901613595789,Unassigned
OR193_sg1,OR193,851,-0.5839,1.2940491005318646e-05,6.324775662423581e-05,Unassigned
OR193_sg2,OR193,374,-0.4685,0.0017552443195318894,0.005666953248596285,Unassigned
OR193_sg3,OR193,1852,0.2674,0.03464539706053911,0.07645740119289196,Unassigned
OR193_sg4,OR193,3257,-0.3998,0.001238175609832572,0.004149382070484491,Unassigned
OR193_sg5,OR193,678,0.0699,0.6102365239147178,0.723086172582413,Unassigned
SLC810_sg1,SLC810,2657,-0.3147,0.011564211875672803,0.03017275667682937,Unassigned
SLC810_sg2,SLC810,82,-0.3733,0.09825135465571165,0.17988164528691258,Unassigned
SLC810_sg3,SLC810,261,-0.7842,1.0957706237212149e-06,6.156014740006825e-06,Unassigned
SLC810_sg4,SLC810,12183,-0.6365,1.4423207308287798e-07,8.766130859980429e-07,Unassigned
SLC810_sg5,SLC810,6090,-0.345,0.0046923873348817995,0.013688411128593347,Unassigned
ABCB309_sg1,ABCB309,49,-0.2082,0.44892695027891605,0.5831229870266489,Unassigned
ABCB309_sg2,ABCB309,324,0.0366,0.8117465245983381,0.8755445364906213,Unassigned
ABCB309_sg3,ABCB309,405,0.3599,0.014803943980608948,0.03742149641205498,Unassigned
ABCB309_sg4,ABCB309,617,-0.2521,0.06926280578117781,0.13517331339027677,Unassigned
ABCB309_sg5,ABCB309,2233,-0.8212,5.966579224470522e-11,4.601474980311456e-10,Unassigned
ABCB309_sg6,ABCB309,5212,0.0066,0.9571812575446228,0.975123530505932,Unassigned
PCDH36_sg1,PCDH36,349,-2.2973,7.671153805750409e-52,1.530150360189576e-50,DNA replication
PCDH36_sg2,PCDH36,1778,-2.0773,2.7393959498179774e-60,6.370688255390645e-59,Proteasome
PCDH36_sg3,PCDH36,873,-3.1606,8.220323689194453e-124,5.682251398060682e-122,Unassigned
PCDH36_sg4,PCDH36,320,-2.395,2.0786622561951712e-54,4.336569380101191e-53,Unassigned
PCDH36_sg5,PCDH36,26,-1.7896,6.778424474108207e-07,3.891173636112633e-06,Unassigned
PCDH36_sg6,PCDH36,1522,-2.1722,1.2078869702979965e-64,3.1024494100119775e-63,Unassigned
ADAM445_sg1,ADAM445,819,-0.0755,0.5744061079414593,0.6938188901258064,Unassigned
ADAM445_sg2,ADAM445,593,0.0278,0.8418995595189342,0.8957648881248413,Unassigned
ADAM445_sg3,ADAM445,76,-0.2912,0.20960494643863126,0.3276783946409035,Unassigned
ADAM445_sg4,ADAM445,6240,0.1167,0.3386602255837776,0.4727690445562274,Unassigned
ADAM445_sg5,ADAM445,415,0.2017,0.17025125556167375,0.2788566098957312,Unassigned
ADAM445_sg6,ADAM445,60,-0.2046,0.4200328602603135,0.5551150562950637,Unassigned
MMP112_sg1,MMP112,47,-0.2015,0.47130791304155195,0.6029525539977211,Unassigned
MMP112_sg2,MMP112,913,-0.3479,0.00890520137684487,0.024112531077266255,Unassigned
MMP112_sg3,MMP112,954,0.209,0.11465681945645025,0.20343651429462428,Unassigned
MMP112_sg4,MMP112,165,0.2678,0.13786841079806578,0.23618389241331508,Unassigned
MMP112_sg5,MMP112,661,-0.4979,0.0002969501003748138,0.001150374872319785,Unassigned
WDR215_sg1,WDR215,899,0.3647,0.006176563783486913,0.017461073643479774,Unassigned
WDR215_sg2,WDR215,407,0.2091,0.15634324209646902,0.2611524088471086,Unassigned
WDR215_sg3,WDR215,115,0.2137,0.28814011275531326,0.4179982293355608,Unassigned
KDM672_sg1,KDM672,1397,0.2398,0.06228834027194755,0.12414630668073522,Unassigned
KDM672_sg2,KDM672,1160,0.003,0.9814862274218628,0.9893349513693932,Unassigned
KDM672_sg3,KDM672,774,-0.4733,0.0004634718095880709,0.0017220899538818587,Unassigned
KDM672_sg4,KDM672,95,0.1338,0.5327409729516499,0.6574343557609831,Unassigned
KDM672_sg5,KDM672,45,-0.3377,0.23553870411214717,0.358724800658159,Unassigned
KRT726_sg1,KRT726,370,1.0295,6.794324959152356e-12,5.467536179575393e-11,PI3K-Akt signaling pathway
KRT726_sg2,KRT726,1332,-0.3106,0.016089936593394718,0.04014207365802583,Unassigned
KRT726_sg3,KRT726,1573,-0.7059,3.236461297298006e-08,2.0844533902735117e-07,Unassigned
KRT726_sg4,KRT726,794,0.6033,7.644713871541661e-06,3.8415579406974186e-05,Unassigned
KRT726_sg5,KRT726,168,0.0261,0.8843937707607992,0.9268266955218493,Unassigned
ANKRD843_sg1,ANKRD843,99,0.029,0.8908747218153105,0.9311630428004778,Unassigned
ANKRD843_sg2,ANKRD843,322,-0.0445,0.772820365144572,0.8481347290875461,Unassigned
ANKRD843_sg3,ANKRD843,327,-0.176,0.25178346573946886,0.3771095343077417,Unassigned
ANKRD843_sg4,ANKRD843,1739,-0.8061,2.1805436046522043e-10,1.6419756059128045e-09,Unassigned
ANKRD843_sg5,ANKRD843,161,0.8448,3.3533628884088416e-06,1.7786578262423133e-05,Unassigned
FAM639_sg1,FAM639,182,-0.4899,0.005306143314766912,0.015303239708037625,Unassigned
FAM639_sg2,FAM639,7205,0.737,1.4056214390076936e-09,1.013669306976702e-08,Unassigned
FAM639_sg3,FAM639,3384,0.0686,0.5790532020011754,0.6970810609816135,Unassigned
FAM639_sg4,FAM639,88,0.022,0.9203416873047746,0.9505689734428452,Unassigned
FAM639_sg5,FAM639,2990,-0.2392,0.053957493073807955,0.11016229700654953,Unassigned
ABCB642_sg1,ABCB642,61,0.7161,0.004511081400371372,0.013226391908829276,Unassigned
ABCB642_sg2,ABCB642,172,-0.1425,0.4245727859861961,0.5593353056203181,Unassigned
ABCB642_sg3,ABCB642,204,-0.2225,0.19226455907097173,0.30621877108351836,Unassigned
ABCB642_sg4,ABCB642,294,0.064,0.6834520484288533,0.7811922567462806,Unassigned
ABCB642_sg5,ABCB642,837,-0.2238,0.0950993987776424,0.17509402008894512,Unassigned
ABCB642_sg6,ABCB642,387,-0.3592,0.01581665890952731,0.03956802595779013,Unassigned
OLFM893_sg1,OLFM893,831,0.0381,0.7764940489601275,0.8508655900773319,Unassigned
OLFM893_sg2,OLFM893,181,-0.0737,0.6753233615458203,0.7746946192547697,Unassigned
OLFM893_sg3,OLFM893,579,0.5264,0.00016887792740627713,0.0006866817324733415,Unassigned
OLFM893_sg4,OLFM893,372,0.5571,0.00020191537294574579,0.000808739811531692,Unassigned
COL308_sg1,COL308,41,-0.373,0.2075125461149473,0.3250509807564964,Unassigned
COL308_sg2,COL308,682,0.3235,0.018312736749071676,0.04493555557599789,Unassigned
COL308_sg3,COL308,381,-0.1549,0.29936203895584224,0.43024150467927885,Unassigned
COL308_sg4,COL308,113,-0.3031,0.13419805585532543,0.23100368723102468,Unassigned
COL308_sg5,COL308,175,-0.0684,0.7002169873983561,0.7933458810366042,Unassigned
MMP147_sg1,MMP147,181,-0.1162,0.5091986567366815,0.637023587359714,Unassigned
MMP147_sg2,MMP147,229,-0.6734,4.896128590639836e-05,0.00021962299300118884,Unassigned
MMP147_sg3,MMP147,4621,-0.9438,1.4324500794221303e-14,1.2684032580479312e-13,Unassigned
MMP147_sg4,MMP147,7596,0.4581,0.00016561701816356718,0.000674702681274717,Unassigned
MMP147_sg5,MMP147,10,0.3261,0.5608716245492795,0.682768573952215,Unassigned
MMP147_sg6,MMP147,687,-0.2827,0.03906279585593904,0.08429606356482312,Unassigned
RAB480_sg1,RAB480,1384,-0.191,0.13777007609457578,0.23606486499095636,Unassigned
RAB480_sg2,RAB480,239,0.4981,0.0024117793656407436,0.007550968583721802,Unassigned
RAB480_sg3,RAB480,1329,0.0523,0.6851716981216707,0.7823976455408845,Unassigned
RAB480_sg4,RAB480,3949,-0.1705,0.166014779351079,0.2735038427683197,Unassigned
RAB480_sg5,RAB480,42,-1.4496,7.497802786051265e-07,4.2893608615853914e-06,Unassigned
DNAJ160_sg1,DNAJ160,404,0.1931,0.19116820096517007,0.3049258841426575,Unassigned
DNAJ160_sg2,DNAJ160,6217,-0.1211,0.32069448331358863,0.45338522617378224,Unassigned
DNAJ160_sg3,DNAJ160,52,-0.0976,0.7162783907415546,0.8062566307311512,Unassigned
DNAJ160_sg4,DNAJ160,278,-0.2524,0.11174495672843306,0.19918887117367748,Unassigned
DNAJ160_sg5,DNAJ160,169,0.0507,0.7774814771309805,0.8513813810019496,Unassigned
CYP13_sg1,CYP13,1600,0.2704,0.03402810600709316,0.07529452575695493,Unassigned
CYP13_sg2,CYP13,1972,-0.0907,0.47209055570904557,0.6034391423635009,Unassigned
CYP13_sg3,CYP13,421,0.2649,0.07097912243640209,0.13790040993994288,Unassigned
CYP13_sg4,CYP13,347,0.3497,0.02125589769788898,0.050783434955676575,Unassigned
CYP13_sg5,CYP13,25,0.7244,0.048164207498417926,0.10028638429709451,Unassigned
CYP13_sg6,CYP13,2792,-0.4885,8.614981229624831e-05,0.00036795193178921544,Unassigned
SLC834_sg1,SLC834,194,0.3428,0.04729605054355636,0.09869793519106086,Unassigned
SLC834_sg2,SLC834,267,-0.3917,0.01442043763625107,0.03655061921996723,Unassigned
SLC834_sg3,SLC834,1419,0.2258,0.07895677819561939,0.1505276655991727,Unassigned
SLC834_sg4,SLC834,444,-0.2581,0.07598364896439133,0.145972686278928,Unassigned
SLC834_sg5,SLC834,1489,0.418,0.0011032634986519493,0.003747498297051458,Unassigned
USP238_sg1,USP238,817,0.7574,1.7601188655803656e-08,1.1677038029060364e-07,Unassigned
USP238_sg2,USP238,448,0.2806,0.053405094085666474,0.10917980958200203,Unassigned
USP238_sg3,USP238,526,0.1907,0.1787251663222308,0.28954287664255984,Unassigned
USP238_sg4,USP238,61,0.2117,0.4011172601418369,0.5366835163792305,Unassigned
OR36_sg1,OR36,264,-0.3171,0.04820098281831086,0.10034902738024468,Unassigned
OR36_sg2,OR36,1679,0.4184,0.0010080588159033113,0.003452256218846957,Unassigned
OR36_sg3,OR36,86,-0.2571,0.2467406268911142,0.37126185207811346,Unassigned
OR36_sg4,OR36,113,-1.0779,9.988612969017799e-08,6.160739906877754e-07,Unassigned
WDR98_sg1,WDR98,88,-0.1429,0.5163609055851184,0.6437345066303836,Unassigned
WDR98_sg2,WDR98,416,0.0528,0.7194437666687201,0.8086060617436537,Unassigned
WDR98_sg3,WDR98,2708,-0.2109,0.09034490691489497,0.1678717060902426,Unassigned
WDR98_sg4,WDR98,751,-0.52,0.00012613461480964067,0.000525414946443935,Unassigned
WDR98_sg5,WDR98,13,-1.1358,0.021799076080311133,0.0518203076394084,Unassigned
WDR98_sg6,WDR98,874,-0.3725,0.005274155674641594,0.015228553439773614,Unassigned
PCDH216_sg1,PCDH216,170,-0.1615,0.3670573591113404,0.5021304502207119,Unassigned
PCDH216_sg2,PCDH216,709,-0.632,3.654106030855504e-06,1.9286273913734188e-05,Unassigned
PCDH216_sg3,PCDH216,264,0.2027,0.2067509930580229,0.324061117645804,Unassigned
PCDH216_sg4,PCDH216,91,0.5238,0.016103708253824883,0.040165551015525984,Unassigned
PCDH216_sg5,PCDH216,297,0.3178,0.042347279822571825,0.0901517452935818,Unassigned
CYP247_sg1,CYP247,170,0.0784,0.6614630346585022,0.7636965455570761,Unassigned
CYP247_sg2,CYP247,524,-0.4974,0.0004544673265123155,0.0016932463729967045,Unassigned
CYP247_sg3,CYP247,87,-0.9893,7.657286764026141e-06,3.845306376310416e-05,Unassigned
CYP247_sg4,CYP247,61,-0.5319,0.034920913470608175,0.07699745730694145,Unassigned
CYP247_sg5,CYP247,990,0.2425,0.06621836009072535,0.13031689863039625,Unassigned
CYP247_sg6,CYP247,1743,-0.1858,0.14343775889338659,0.24366550208389567,Unassigned
RAB30_sg1,RAB30,788,0.1027,0.4464570916419204,0.5811729909423592,Unassigned
RAB30_sg2,RAB30,125,-0.5686,0.0037147198959609556,0.01114542833867469,Unassigned
RAB30_sg3,RAB30,109,0.1473,0.47201168306314845,0.6034356625806101,Unassigned
RAB30_sg4,RAB30,119,-0.5,0.011995451085946757,0.03118401495480093,Unassigned
RAB30_sg5,RAB30,1256,0.077,0.5523059793076952,0.6751906837502386,Unassigned
CYP252_sg1,CYP252,96,-0.0434,0.8388896223056681,0.8933861792392631,Unassigned
CYP252_sg2,CYP252,1244,-0.5769,8.621844917728546e-06,4.3066158430212516e-05,Unassigned
CYP252_sg3,CYP252,859,0.8442,2.7661936150888886e-10,2.0767219332499165e-09,Unassigned
CYP252_sg4,CYP252,2115,-0.1143,0.3633075624315214,0.4985946351271626,Unassigned
CYP252_sg5,CYP252,1627,-0.1187,0.35179952908675927,0.4865381648811902,Unassigned
OR174_sg1,OR174,745,-0.4414,0.001146678740574522,0.0038800318314048793,Unassigned
OR174_sg2,OR174,36,0.63,0.04387378105323836,0.09274333649923554,Unassigned
OR174_sg3,OR174,825,0.5245,9.399806584994934e-05,0.0003996516405184921,Unassigned
OR174_sg4,OR174,393,0.2055,0.16618979699273484,0.2737286653004307,Unassigned
ANKRD341_sg1,ANKRD341,189,0.5027,0.003862838733765661,0.011525110566979269,Unassigned
ANKRD341_sg2,ANKRD341,2549,0.3915,0.0017096471597861473,0.0055388136926117085,Unassigned
ANKRD341_sg3,ANKRD341,263,0.226,0.15954279381775427,0.2654033389449167,Unassigned
ANKRD341_sg4,ANKRD341,149,-0.9333,5.105105318806611e-07,2.958909574269674e-06,Unassigned
ANKRD341_sg5,ANKRD341,1783,-0.4208,0.0009067907719087041,0.0031336232113327173,Unassigned
ABCB347_sg1,ABCB347,180,-1.249,1.3758352498989125e-12,1.1351775989264956e-11,Unassigned
ABCB347_sg2,ABCB347,138,-1.7966,3.3594338362004383e-21,3.536246143368882e-20,Unassigned
ABCB347_sg3,ABCB347,61,-1.9721,5.236879272049087e-15,4.6869444558911876e-14,Unassigned
ABCB347_sg4,ABCB347,97,-2.6941,1.0640312123273567e-36,1.5616896462730284e-35,Unassigned
TRIM305_sg1,TRIM305,110,-2.6501,1.551570560244102e-38,2.3919381709826853e-37,mRNA surveillance pathway
TRIM305_sg2,TRIM305,838,-1.6368,2.856461403686518e-34,3.978358500956153e-33,mRNA surveillance pathway
TRIM305_sg3,TRIM305,72,-1.7133,4.636429793393423e-13,3.9027186813075945e-12,p53 signaling pathway
TRIM305_sg4,TRIM305,20,-1.5693,0.00010863603203521321,0.0004581221480259202,Unassigned
CYP295_sg1,CYP295,521,0.1853,0.1919354084074576,0.3057919411696085,Unassigned
CYP295_sg2,CYP295,128,0.6492,0.000845318848643134,0.0029419449488740164,Unassigned
CYP295_sg3,CYP295,322,-0.004,0.9793316737685608,0.9875613516993891,Unassigned
CYP295_sg4,CYP295,2261,-0.0711,0.5708606010876988,0.6917640157282445,Unassigned
CYP81_sg1,CYP81,368,-2.9448,1.292154706455243e-85,4.797604108125902e-84,Unassigned
CYP81_sg2,CYP81,3179,-1.6799,6.705966590511653e-42,1.1151829141649092e-40,RNA polymerase
CYP81_sg3,CYP81,298,-2.3721,6.0453975495376956e-52,1.2074695505068632e-50,Spliceosome
CYP81_sg4,CYP81,1496,-2.049,1.3298166226084792e-57,2.933419020459881e-56,Unassigned
CYP81_sg5,CYP81,145,-1.9395,4.029062136482432e-25,4.6453445078583e-24,Ribosome
USP23_sg1,USP23,388,0.0935,0.5298431146115583,0.6549022506150416,Unassigned
USP23_sg2,USP23,81,-0.1982,0.3822670895828546,0.5174628953833426,Unassigned
USP23_sg3,USP23,97,-0.0185,0.9306052654483067,0.957928775386128,Unassigned
GPR182_sg1,GPR182,236,-0.448,0.006511396639117572,0.01830758192816562,Unassigned
GPR182_sg2,GPR182,45,-0.0168,0.9530324460836896,0.9728711700089839,Unassigned
GPR182_sg3,GPR182,419,-0.301,0.0403431850974253,0.08654859503166183,Unassigned
GPR182_sg4,GPR182,210,0.0187,0.9123039910513179,0.9455233791038326,Unassigned
GPR182_sg5,GPR182,470,-0.5516,0.00013014586963349433,0.0005406589530001798,Unassigned
KRT681_sg1,KRT681,46,-0.1378,0.6252290611504538,0.7361306659470521,Unassigned
KRT681_sg2,KRT681,946,-0.2568,0.0526990182884918,0.10813752042782176,Unassigned
KRT681_sg3,KRT681,4215,-0.0147,0.9046008417479053,0.9400558996295563,Unassigned
KRT681_sg4,KRT681,3071,0.1367,0.2701570401311175,0.3975236023118268,Unassigned
KRT681_sg5,KRT681,5744,-0.0657,0.5907252327303478,0.7069473823962995,Unassigned
KRT681_sg6,KRT681,352,0.6168,4.6284661418185513e-05,0.00020842687519447096,Unassigned
ADAM891_sg1,ADAM891,195,0.6235,0.00030323178976319695,0.0011725900609559047,Unassigned
ADAM891_sg2,ADAM891,686,0.0312,0.8199295070464174,0.881013080637268,Unassigned
ADAM891_sg3,ADAM891,231,-0.1041,0.5294475089894066,0.654554737891791,Unassigned
ADAM891_sg4,ADAM891,24,0.2162,0.5625783123686395,0.684401839864525,Unassigned
ADAM891_sg5,ADAM891,1129,0.3934,0.002592387286503493,0.00805589585613267,Unassigned
CYP835_sg1,CYP835,232,-0.7515,5.468471660706099e-06,2.8149305048246904e-05,Unassigned
CYP835_sg2,CYP835,37,0.0468,0.8795428836729176,0.9241484488017485,Unassigned
CYP835_sg3,CYP835,154,-0.6383,0.0005244336602591075,0.0019228806902680548,Unassigned
SLC454_sg1,SLC454,240,0.2608,0.11184857305261013,0.19932619648201877,Unassigned
SLC454_sg2,SLC454,336,0.5338,0.00047480073572526304,0.0017593900780333363,Unassigned
SLC454_sg3,SLC454,342,0.1078,0.4787311236298524,0.6098485651335699,Unassigned
SLC454_sg4,SLC454,2575,-0.6657,9.530005221819142e-08,5.887565005242468e-07,Unassigned
DNAJ479_sg1,DNAJ479,48,-0.6005,0.030355660530829033,0.06847141473119331,Unassigned
DNAJ479_sg2,DNAJ479,263,0.2627,0.10202052273014607,0.18508803107791377,Unassigned
DNAJ479_sg3,DNAJ479,88,-0.8187,0.00020100817455998634,0.0008055363661233757,Unassigned
DNAJ479_sg4,DNAJ479,2174,0.2973,0.017941727055109307,0.044119000955186824,Unassigned
DNAJ479_sg5,DNAJ479,142,0.1935,0.3047106554126854,0.43604844792885716,Unassigned
WDR283_sg1,WDR283,197,0.0303,0.860063315215414,0.9097348373338418,Unassigned
WDR283_sg2,WDR283,1595,0.006,0.9625190404852728,0.9778970862595209,Unassigned
WDR283_sg3,WDR283,2409,0.1278,0.3068849460869394,0.43832357563360225,Unassigned
WDR283_sg4,WDR283,3008,-0.0464,0.7087296735007285,0.8002819258138306,Unassigned
WDR283_sg5,WDR283,28,-0.1969,0.5721421705285612,0.692509974876192,Unassigned
ZNF696_sg1,ZNF696,682,0.5792,2.3960241344640366e-05,0.00011270104113189259,Unassigned
ZNF696_sg2,ZNF696,495,0.1978,0.16670632638447913,0.2742782599283961,Unassigned
ZNF696_sg3,ZNF696,306,0.1609,0.30091844002576307,0.4320533074159626,Unassigned
ZNF696_sg4,ZNF696,365,-0.1499,0.3187924509876635,0.45163267518086064,Unassigned
PCDH760_sg1,PCDH760,2273,0.1287,0.3045466482705791,0.43589692023460747,Unassigned
PCDH760_sg2,PCDH760,1569,0.3333,0.009056924917517509,0.024456142891586433,Unassigned
PCDH760_sg3,PCDH760,1268,0.6057,2.900407395447857e-06,1.5482601755059734e-05,Unassigned
PCDH760_sg4,PCDH760,451,0.4257,0.003348200140350975,0.010135822826491347,Unassigned
ABCC806_sg1,ABCC806,9956,-0.5838,1.474659603496281e-06,8.168350831774082e-06,Unassigned
ABCC806_sg2,ABCC806,181,-0.0919,0.6015861963258198,0.7158708216087638,Unassigned
ABCC806_sg3,ABCC806,29,0.3955,0.24931242717260704,0.3743055157230613,Unassigned
ABCC806_sg4,ABCC806,222,0.1869,0.2633690685197243,0.39023733953528716,Unassigned
ABCC806_sg5,ABCC806,360,0.0843,0.5759742769351383,0.6951173991493342,Unassigned
ABCC806_sg6,ABCC806,2333,0.481,0.00012288077391798684,0.0005127153292822817,Unassigned
FAM690_sg1,FAM690,153,-0.8433,4.810338692745572e-06,2.4984446118830876e-05,Unassigned
FAM690_sg2,FAM690,690,-0.0964,0.4813836987956144,0.6119284306723912,Unassigned
FAM690_sg3,FAM690,36,-0.2704,0.38712383751797874,0.5224813355020408,Unassigned
FAM690_sg4,FAM690,1673,0.2951,0.020376679270093047,0.049092545623417236,Unassigned
FAM690_sg5,FAM690,366,0.4239,0.004801277434306811,0.013965321216715563,Unassigned
FAM690_sg6,FAM690,217,-0.4494,0.0074770593460177425,0.020647255189666078,Unassigned
OLFM725_sg1,OLFM725,8083,0.4682,0.00011715496744051935,0.0004907356915967021,Unassigned
OLFM725_sg2,OLFM725,1644,0.0375,0.7685871898136766,0.8447250767295684,Unassigned
OLFM725_sg3,OLFM725,69,-0.0909,0.705525999351019,0.7977571651240354,Unassigned
OLFM725_sg4,OLFM725,280,-0.3633,0.02188460424025829,0.05199890125199974,Unassigned
OLFM725_sg5,OLFM725,20020,-0.1676,0.16466439050494874,0.27184303957453565,Unassigned
DNAJ278_sg1,DNAJ278,6427,-0.0809,0.5070047380526221,0.6353624359926224,Unassigned
DNAJ278_sg2,DNAJ278,1319,-0.1038,0.42151734494204096,0.5562871875884756,Unassigned
DNAJ278_sg3,DNAJ278,21,-0.369,0.3520432041414068,0.4867854039565912,Unassigned
SLC836_sg1,SLC836,2436,0.4811,0.00011896985133490544,0.0004976429921984332,Unassigned
SLC836_sg2,SLC836,127,-0.0585,0.7640072292764521,0.8415181921826695,Unassigned
SLC836_sg3,SLC836,2405,0.3698,0.0031112351785049274,0.009504791787693262,Unassigned
SLC836_sg4,SLC836,112,0.6846,0.0007431444266736522,0.0026271898185493245,Unassigned
SLC836_sg5,SLC836,688,-0.2231,0.1034201525124084,0.18699400767672686,Unassigned
COL85_sg1,COL85,126,-0.2219,0.2561883211282239,0.3820285134629047,Unassigned
COL85_sg2,COL85,192,-0.0366,0.8325609754005685,0.889108260786596,Unassigned
COL85_sg3,COL85,840,0.0616,0.6456510115053009,0.7512228647672597,Unassigned
COL85_sg4,COL85,46,-0.2335,0.4080341398747499,0.5435623532967361,Unassigned
COL85_sg5,COL85,11598,0.3918,0.0012111079098082907,0.004070494879481147,Unassigned
COL85_sg6,COL85,71,-0.171,0.47260148780771016,0.6038349503505667,Unassigned
WDR894_sg1,WDR894,65,0.4403,0.0735693891835125,0.1420060401870044,Unassigned
